Timestamp,Solaire (MW),Éolien (MW),Hydroélectrique (MW),Gaz (MW),Cycle à Vapeur (MW)
2025-01-25 07:50:46.852379,162,332,139,401,421
2025-01-25 08:50:46.852379,367,156,124,345,215
2025-01-25 09:50:46.852379,491,85,360,875,632
2025-01-25 10:50:46.852379,101,243,494,638,397
2025-01-25 11:50:46.852379,317,43,542,441,305
2025-01-25 12:50:46.852379,344,57,325,780,196
2025-01-25 13:50:46.852379,435,107,571,886,603
2025-01-25 14:50:46.852379,436,245,223,760,350
2025-01-25 15:50:46.852379,162,394,562,682,273
2025-01-25 16:50:46.852379,150,183,137,307,150
2025-01-25 17:50:46.852379,162,43,427,425,340
2025-01-25 18:50:46.852379,489,216,350,872,665
2025-01-25 19:50:46.852379,130,341,488,830,591
2025-01-25 20:50:46.852379,236,36,275,860,292
2025-01-25 21:50:46.852379,162,32,189,861,340
2025-01-25 22:50:46.852379,51,140,501,631,682
2025-01-25 23:50:46.852379,179,267,553,854,376
2025-01-26 00:50:46.852379,269,392,136,618,462
2025-01-26 01:50:46.852379,103,268,415,654,451
2025-01-26 02:50:46.852379,392,303,275,359,609
2025-01-26 03:50:46.852379,273,323,560,722,550
2025-01-26 04:50:46.852379,274,256,383,849,542
2025-01-26 05:50:46.852379,434,44,552,789,356
2025-01-26 06:50:46.852379,452,221,560,276,359
2025-01-26 07:50:46.852379,175,148,180,708,264
2025-01-26 08:50:46.852379,179,57,213,640,400
2025-01-26 09:50:46.852379,102,231,139,453,368
2025-01-26 10:50:46.852379,221,68,400,969,556
2025-01-26 11:50:46.852379,267,302,323,519,592
2025-01-26 12:50:46.852379,209,260,417,462,503
2025-01-26 13:50:46.852379,247,115,448,796,699
2025-01-26 14:50:46.852379,465,155,214,857,291
2025-01-26 15:50:46.852379,296,329,285,753,650
2025-01-26 16:50:46.852379,373,54,422,573,696
2025-01-26 17:50:46.852379,488,174,155,836,691
2025-01-26 18:50:46.852379,252,42,139,366,656
2025-01-26 19:50:46.852379,233,241,453,952,430
2025-01-26 20:50:46.852379,172,54,139,658,573
2025-01-26 21:50:46.852379,450,97,446,479,419
2025-01-26 22:50:46.852379,304,96,560,899,303
2025-01-26 23:50:46.852379,343,262,336,501,232
2025-01-27 00:50:46.852379,329,138,388,730,575
2025-01-27 01:50:46.852379,374,175,361,779,424
2025-01-27 02:50:46.852379,421,140,315,417,433
2025-01-27 03:50:46.852379,147,257,246,301,322
2025-01-27 04:50:46.852379,247,140,435,753,476
2025-01-27 05:50:46.852379,444,63,267,487,212
2025-01-27 06:50:46.852379,289,140,191,366,222
2025-01-27 07:50:46.852379,193,293,452,820,524
2025-01-27 08:50:46.852379,146,398,158,235,657
2025-01-27 09:50:46.852379,250,265,158,943,547
2025-01-27 10:50:46.852379,173,112,403,940,269
2025-01-27 11:50:46.852379,236,71,268,552,586
2025-01-27 12:50:46.852379,375,130,368,875,614
2025-01-27 13:50:46.852379,398,35,462,272,435
2025-01-27 14:50:46.852379,308,209,144,847,414
2025-01-27 15:50:46.852379,197,311,444,552,469
2025-01-27 16:50:46.852379,301,349,280,269,525
2025-01-27 17:50:46.852379,492,255,269,624,238
2025-01-27 18:50:46.852379,469,344,455,907,352
2025-01-27 19:50:46.852379,452,394,290,980,483
2025-01-27 20:50:46.852379,395,258,254,760,371
2025-01-27 21:50:46.852379,196,318,521,841,190
2025-01-27 22:50:46.852379,197,179,287,716,217
2025-01-27 23:50:46.852379,401,306,106,627,663
2025-01-28 00:50:46.852379,248,227,232,738,276
2025-01-28 01:50:46.852379,357,99,334,359,404
2025-01-28 02:50:46.852379,466,141,144,348,165
2025-01-28 03:50:46.852379,473,33,413,975,626
2025-01-28 04:50:46.852379,177,379,348,429,211
2025-01-28 05:50:46.852379,88,360,598,911,581
2025-01-28 06:50:46.852379,387,347,130,761,417
2025-01-28 07:50:46.852379,409,379,122,266,184
2025-01-28 08:50:46.852379,178,124,525,580,643
2025-01-28 09:50:46.852379,316,181,493,257,618
2025-01-28 10:50:46.852379,490,340,259,458,474
2025-01-28 11:50:46.852379,483,166,462,541,453
2025-01-28 12:50:46.852379,200,276,536,329,425
2025-01-28 13:50:46.852379,464,272,257,926,350
2025-01-28 14:50:46.852379,347,60,138,371,594
2025-01-28 15:50:46.852379,148,69,514,969,473
2025-01-28 16:50:46.852379,312,258,181,813,184
2025-01-28 17:50:46.852379,301,65,455,408,631
2025-01-28 18:50:46.852379,193,252,357,553,629
2025-01-28 19:50:46.852379,395,35,305,670,214
2025-01-28 20:50:46.852379,161,351,176,997,157
2025-01-28 21:50:46.852379,109,249,576,315,450
2025-01-28 22:50:46.852379,418,104,111,463,492
2025-01-28 23:50:46.852379,51,33,394,861,580
2025-01-29 00:50:46.852379,434,364,549,641,573
2025-01-29 01:50:46.852379,353,163,323,747,481
2025-01-29 02:50:46.852379,303,147,112,652,587
2025-01-29 03:50:46.852379,189,398,145,676,323
2025-01-29 04:50:46.852379,86,123,254,486,676
2025-01-29 05:50:46.852379,209,91,212,502,175
2025-01-29 06:50:46.852379,58,223,332,510,555
2025-01-29 07:50:46.852379,282,364,116,407,381
2025-01-29 08:50:46.852379,148,232,459,817,682
2025-01-29 09:50:46.852379,196,55,322,645,699
2025-01-29 10:50:46.852379,353,202,453,869,654
2025-01-29 11:50:46.852379,257,329,287,832,328
2025-01-29 12:50:46.852379,180,162,547,254,281
2025-01-29 13:50:46.852379,453,355,443,211,604
2025-01-29 14:50:46.852379,201,147,464,856,497
2025-01-29 15:50:46.852379,103,353,262,599,689
2025-01-29 16:50:46.852379,169,304,595,847,555
2025-01-29 17:50:46.852379,210,241,425,714,225
2025-01-29 18:50:46.852379,457,254,566,855,641
2025-01-29 19:50:46.852379,165,49,513,741,343
2025-01-29 20:50:46.852379,124,142,554,436,311
2025-01-29 21:50:46.852379,162,169,173,478,496
2025-01-29 22:50:46.852379,469,76,332,547,510
2025-01-29 23:50:46.852379,471,30,323,826,236
2025-01-30 00:50:46.852379,153,119,581,303,411
2025-01-30 01:50:46.852379,389,171,418,829,363
2025-01-30 02:50:46.852379,303,349,511,716,411
2025-01-30 03:50:46.852379,276,67,159,447,432
2025-01-30 04:50:46.852379,161,322,434,563,616
2025-01-30 05:50:46.852379,148,168,321,520,529
2025-01-30 06:50:46.852379,202,385,136,832,511
2025-01-30 07:50:46.852379,398,362,576,485,598
2025-01-30 08:50:46.852379,451,288,377,348,590
2025-01-30 09:50:46.852379,433,190,295,283,242
2025-01-30 10:50:46.852379,415,207,503,605,573
2025-01-30 11:50:46.852379,387,39,451,655,291
2025-01-30 12:50:46.852379,243,290,583,942,440
2025-01-30 13:50:46.852379,359,167,341,999,581
2025-01-30 14:50:46.852379,212,201,423,360,198
2025-01-30 15:50:46.852379,257,42,318,983,451
2025-01-30 16:50:46.852379,494,197,291,659,339
2025-01-30 17:50:46.852379,218,159,116,749,285
2025-01-30 18:50:46.852379,210,113,111,699,553
2025-01-30 19:50:46.852379,117,350,505,937,490
2025-01-30 20:50:46.852379,338,348,500,708,467
2025-01-30 21:50:46.852379,447,130,493,853,512
2025-01-30 22:50:46.852379,326,358,473,680,531
2025-01-30 23:50:46.852379,353,302,292,862,382
2025-01-31 00:50:46.852379,453,294,121,313,493
2025-01-31 01:50:46.852379,433,67,573,948,698
2025-01-31 02:50:46.852379,441,123,219,777,678
2025-01-31 03:50:46.852379,184,124,309,560,332
2025-01-31 04:50:46.852379,244,334,405,540,190
2025-01-31 05:50:46.852379,450,98,369,969,546
2025-01-31 06:50:46.852379,177,347,291,960,643
2025-01-31 07:50:46.852379,82,265,274,648,482
2025-01-31 08:50:46.852379,225,363,384,379,276
2025-01-31 09:50:46.852379,492,166,303,901,150
2025-01-31 10:50:46.852379,420,105,263,606,317
2025-01-31 11:50:46.852379,424,64,350,865,168
2025-01-31 12:50:46.852379,71,30,326,395,481
2025-01-31 13:50:46.852379,287,325,535,665,605
2025-01-31 14:50:46.852379,207,349,480,510,258
2025-01-31 15:50:46.852379,87,89,559,461,417
2025-01-31 16:50:46.852379,279,349,106,618,594
2025-01-31 17:50:46.852379,414,378,128,605,389
2025-01-31 18:50:46.852379,100,357,494,342,450
2025-01-31 19:50:46.852379,487,296,132,541,252
2025-01-31 20:50:46.852379,313,390,233,515,399
2025-01-31 21:50:46.852379,332,258,466,300,602
2025-01-31 22:50:46.852379,76,299,178,443,669
2025-01-31 23:50:46.852379,275,345,515,689,302
2025-02-01 00:50:46.852379,326,315,534,211,323
2025-02-01 01:50:46.852379,335,320,558,438,492
2025-02-01 02:50:46.852379,146,242,157,760,580
2025-02-01 03:50:46.852379,333,194,570,241,473
2025-02-01 04:50:46.852379,416,34,125,877,569
2025-02-01 05:50:46.852379,497,368,581,793,634
2025-02-01 06:50:46.852379,366,107,529,628,561
2025-02-01 07:50:46.852379,353,91,325,357,233
2025-02-01 08:50:46.852379,196,161,384,415,262
2025-02-01 09:50:46.852379,53,118,103,869,481
2025-02-01 10:50:46.852379,84,266,564,661,527
2025-02-01 11:50:46.852379,241,71,198,333,190
2025-02-01 12:50:46.852379,98,118,496,266,254
2025-02-01 13:50:46.852379,66,325,588,206,351
2025-02-01 14:50:46.852379,221,357,138,725,599
2025-02-01 15:50:46.852379,269,324,370,272,415
2025-02-01 16:50:46.852379,207,133,474,598,359
2025-02-01 17:50:46.852379,95,43,384,604,267
2025-02-01 18:50:46.852379,422,317,256,874,526
2025-02-01 19:50:46.852379,55,208,174,777,689
2025-02-01 20:50:46.852379,148,154,471,329,233
2025-02-01 21:50:46.852379,429,382,387,665,603
2025-02-01 22:50:46.852379,282,52,229,405,663
2025-02-01 23:50:46.852379,86,92,274,987,536
2025-02-02 00:50:46.852379,329,172,561,967,499
2025-02-02 01:50:46.852379,398,182,183,465,445
2025-02-02 02:50:46.852379,351,174,121,736,407
2025-02-02 03:50:46.852379,230,254,558,992,230
2025-02-02 04:50:46.852379,144,338,126,452,417
2025-02-02 05:50:46.852379,148,133,294,488,568
2025-02-02 06:50:46.852379,237,133,436,363,384
2025-02-02 07:50:46.852379,165,68,481,294,460
2025-02-02 08:50:46.852379,240,227,335,981,506
2025-02-02 09:50:46.852379,302,163,539,309,362
2025-02-02 10:50:46.852379,465,96,191,535,198
2025-02-02 11:50:46.852379,210,208,576,437,276
2025-02-02 12:50:46.852379,305,71,120,580,372
2025-02-02 13:50:46.852379,372,44,402,635,428
2025-02-02 14:50:46.852379,177,140,563,682,557
2025-02-02 15:50:46.852379,67,186,456,224,654
2025-02-02 16:50:46.852379,330,318,542,852,443
2025-02-02 17:50:46.852379,272,260,183,316,426
2025-02-02 18:50:46.852379,103,186,361,681,587
2025-02-02 19:50:46.852379,107,67,246,591,256
2025-02-02 20:50:46.852379,372,126,540,736,569
2025-02-02 21:50:46.852379,409,318,552,278,578
2025-02-02 22:50:46.852379,223,283,486,779,524
2025-02-02 23:50:46.852379,329,225,356,372,222
2025-02-03 00:50:46.852379,163,115,157,211,179
2025-02-03 01:50:46.852379,337,351,479,999,337
2025-02-03 02:50:46.852379,480,39,521,327,513
2025-02-03 03:50:46.852379,391,34,114,807,600
2025-02-03 04:50:46.852379,200,152,261,291,344
2025-02-03 05:50:46.852379,499,359,544,852,305
2025-02-03 06:50:46.852379,176,382,262,742,321
2025-02-03 07:50:46.852379,204,147,419,731,190
2025-02-03 08:50:46.852379,435,323,596,857,212
2025-02-03 09:50:46.852379,322,188,380,646,172
2025-02-03 10:50:46.852379,153,332,379,589,509
2025-02-03 11:50:46.852379,466,257,111,871,224
2025-02-03 12:50:46.852379,442,394,373,242,267
2025-02-03 13:50:46.852379,348,245,370,453,529
2025-02-03 14:50:46.852379,295,213,591,329,439
2025-02-03 15:50:46.852379,225,44,307,259,589
2025-02-03 16:50:46.852379,88,186,126,862,156
2025-02-03 17:50:46.852379,219,165,171,666,345
2025-02-03 18:50:46.852379,296,290,159,486,570
2025-02-03 19:50:46.852379,75,186,529,716,342
2025-02-03 20:50:46.852379,404,76,572,666,297
2025-02-03 21:50:46.852379,355,353,244,977,351
2025-02-03 22:50:46.852379,458,361,192,544,593
2025-02-03 23:50:46.852379,457,202,408,841,568
2025-02-04 00:50:46.852379,62,159,107,581,576
2025-02-04 01:50:46.852379,365,124,178,978,628
2025-02-04 02:50:46.852379,440,144,126,889,624
2025-02-04 03:50:46.852379,362,272,273,452,275
2025-02-04 04:50:46.852379,85,321,149,255,544
2025-02-04 05:50:46.852379,222,311,599,662,474
2025-02-04 06:50:46.852379,69,328,298,656,541
2025-02-04 07:50:46.852379,370,312,486,282,589
2025-02-04 08:50:46.852379,313,98,448,298,353
2025-02-04 09:50:46.852379,449,177,547,348,635
2025-02-04 10:50:46.852379,191,40,527,528,180
2025-02-04 11:50:46.852379,420,283,280,355,537
2025-02-04 12:50:46.852379,192,359,123,389,583
2025-02-04 13:50:46.852379,141,389,415,693,525
2025-02-04 14:50:46.852379,403,67,477,462,493
2025-02-04 15:50:46.852379,371,163,486,279,592
2025-02-04 16:50:46.852379,337,229,503,599,224
2025-02-04 17:50:46.852379,264,52,145,963,304
2025-02-04 18:50:46.852379,496,332,114,808,579
2025-02-04 19:50:46.852379,391,375,252,459,512
2025-02-04 20:50:46.852379,100,331,321,971,597
2025-02-04 21:50:46.852379,202,392,305,814,383
2025-02-04 22:50:46.852379,235,247,554,751,411
2025-02-04 23:50:46.852379,112,170,372,984,274
2025-02-05 00:50:46.852379,239,133,481,300,394
2025-02-05 01:50:46.852379,174,239,335,558,691
2025-02-05 02:50:46.852379,199,140,439,579,634
2025-02-05 03:50:46.852379,363,133,327,420,271
2025-02-05 04:50:46.852379,107,345,108,619,274
2025-02-05 05:50:46.852379,391,200,265,323,698
2025-02-05 06:50:46.852379,354,385,531,621,319
2025-02-05 07:50:46.852379,229,353,543,430,273
2025-02-05 08:50:46.852379,219,162,418,889,184
2025-02-05 09:50:46.852379,375,322,313,262,236
2025-02-05 10:50:46.852379,320,357,216,684,350
2025-02-05 11:50:46.852379,103,156,485,827,518
2025-02-05 12:50:46.852379,493,135,443,902,226
2025-02-05 13:50:46.852379,150,121,171,773,208
2025-02-05 14:50:46.852379,313,316,494,967,580
2025-02-05 15:50:46.852379,102,80,163,682,649
2025-02-05 16:50:46.852379,109,58,304,718,258
2025-02-05 17:50:46.852379,157,325,308,354,427
2025-02-05 18:50:46.852379,54,326,171,291,217
2025-02-05 19:50:46.852379,152,243,376,725,218
2025-02-05 20:50:46.852379,245,296,373,654,314
2025-02-05 21:50:46.852379,311,286,577,940,638
2025-02-05 22:50:46.852379,414,331,419,797,454
2025-02-05 23:50:46.852379,421,130,437,844,514
2025-02-06 00:50:46.852379,399,375,465,709,528
2025-02-06 01:50:46.852379,96,139,594,382,492
2025-02-06 02:50:46.852379,404,211,194,585,503
2025-02-06 03:50:46.852379,360,342,265,773,565
2025-02-06 04:50:46.852379,473,30,131,930,258
2025-02-06 05:50:46.852379,357,348,110,604,646
2025-02-06 06:50:46.852379,193,84,400,445,490
2025-02-06 07:50:46.852379,318,178,316,941,532
2025-02-06 08:50:46.852379,419,338,388,790,682
2025-02-06 09:50:46.852379,173,166,201,860,449
2025-02-06 10:50:46.852379,155,231,524,849,288
2025-02-06 11:50:46.852379,207,342,491,670,508
2025-02-06 12:50:46.852379,196,146,366,622,648
2025-02-06 13:50:46.852379,194,183,313,264,534
2025-02-06 14:50:46.852379,169,320,278,212,429
2025-02-06 15:50:46.852379,368,92,187,412,632
2025-02-06 16:50:46.852379,324,273,140,441,260
2025-02-06 17:50:46.852379,141,54,500,692,288
